# baseline controls
b01	prod	prod	DENY	{S} db query --linked -f x.sql
b02	dev	dev	DENY	{S} db query --linked -f x.sql
b03	dev	dev	ALLOW	{S} migration list
b04	dev	dev	ALLOW	{S} inspect db bloat
b05	dev	dev	ALLOW	{S} db dump --project-ref {DEV} -f d.sql
b06	dev	dev	ALLOW	{S} secrets list --project-ref {DEV}
b07	dev	dev	DENY	{S} db push --project-ref {DEV}
b08	dev	dev	DENY	{S} db push"" --project-ref {DEV}
b09	prod	prod	DENY	( {S} db query --linked -f x.sql )
# qa01 family: intra-word quoting of the CLI name
qa01	prod	prod	DENY	sup"abase" db query --linked -f x.sql
qa03	prod	prod	DENY	sup'abase' db query --linked -f x.sql
qa04	prod	prod	DENY	su''pabase db query --linked -f x.sql
qa05	prod	prod	DENY	su""pabase db query --linked -f x.sql
qa10	prod	prod	DENY	su\pabase db query --linked -f x.sql
qa11	prod	prod	DENY	sup\abase db query --linked -f x.sql
# qa09 ANSI-C hex re-encoding
qa09	prod	prod	DENY	$'\x73upabase' db query --linked -f x.sql
# qa08 $'...' segment start
qa08	prod	prod	DENY	$'{S}' db query --linked -f x.sql
# qa20 severity: rule 1 never runs
qa20	prod	prod	DENY	sup"abase" db dump --project-ref {PROD} -f d.sql
qa21	prod	prod	DENY	$'{S}' db dump --project-ref {PROD} -f d.sql
qb04	prod	prod	DENY	FOO="a b" {S} db dump --project-ref {PROD} -f d.sql
# qb01 env-assignment prefix with a quoted value containing a space
qb01	prod	prod	DENY	FOO="a b" {S} db query --linked -f x.sql
rb01	prod	prod	DENY	FOO='a b' {S} db query --linked -f x.sql
rb06	prod	prod	DENY	FOO=a\ b {S} db query --linked -f x.sql
rb02	prod	prod	DENY	FOO="a b" BAR=z {S} db query --linked -f x.sql
rb03	prod	prod	DENY	SUPABASE_ACCESS_TOKEN="sbp tok" {S} db query --linked -f x.sql
rb04	prod	prod	DENY	FOO="a b" npx {S} db query --linked -f x.sql
